municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Pouso Alto (MG),0.71,0.736,0.573,0.847,Pouso Alto - MG
Ibaiti (PR),0.71,0.738,0.596,0.813,Ibaiti - PR
São Miguel Arcanjo (SP),0.71,0.708,0.633,0.799,São Miguel Arcanjo - SP
Leandro Ferreira (MG),0.71,0.707,0.579,0.875,Leandro Ferreira - MG
Carmo do Cajuru (MG),0.71,0.695,0.605,0.853,Carmo do Cajuru - MG
Cachoeira Alta (GO),0.71,0.75,0.569,0.84,Cachoeira Alta - GO
Barracão (RS),0.71,0.711,0.568,0.885,Barracão - RS
Três Coroas (RS),0.71,0.74,0.584,0.829,Três Coroas - RS
Santa Cruz de Monte Castelo (PR),0.71,0.681,0.633,0.831,Santa Cruz de Monte Castelo - PR
Nazário (GO),0.71,0.702,0.631,0.808,Nazário - GO
Novo Itacolomi (PR),0.71,0.681,0.633,0.831,Novo Itacolomi - PR
Colômbia (SP),0.71,0.689,0.647,0.802,Colômbia - SP
Santa Vitória (MG),0.71,0.718,0.576,0.865,Santa Vitória - MG
Apiaí (SP),0.71,0.662,0.647,0.835,Apiaí - SP
Limeira do Oeste (MG),0.71,0.693,0.62,0.834,Limeira do Oeste - MG
Marechal Floriano (ES),0.71,0.715,0.589,0.849,Marechal Floriano - ES
Rio Bonito (RJ),0.71,0.705,0.62,0.819,Rio Bonito - RJ
Lima Duarte (MG),0.71,0.705,0.59,0.861,Lima Duarte - MG
Quarto Centenário (PR),0.71,0.724,0.603,0.819,Quarto Centenário - PR
Capitólio (MG),0.71,0.709,0.612,0.825,Capitólio - MG
Paulo Bento (RS),0.71,0.73,0.571,0.858,Paulo Bento - RS
Caicó (RN),0.71,0.703,0.619,0.824,Caicó - RN
Pitangueiras (PR),0.71,0.67,0.634,0.842,Pitangueiras - PR
Terra Rica (PR),0.71,0.698,0.613,0.837,Terra Rica - PR
Pimenta Bueno (RO),0.71,0.726,0.613,0.803,Pimenta Bueno - RO
Brejo Alegre (SP),0.71,0.702,0.618,0.826,Brejo Alegre - SP
Prado Ferreira (PR),0.71,0.707,0.593,0.852,Prado Ferreira - PR
Monteiro Lobato (SP),0.71,0.692,0.627,0.826,Monteiro Lobato - SP
Buriti Alegre (GO),0.71,0.7,0.614,0.831,Buriti Alegre - GO
Ibiúna (SP),0.71,0.7,0.614,0.832,Ibiúna - SP
Estrela Dalva (MG),0.71,0.719,0.574,0.867,Estrela Dalva - MG
Timburi (SP),0.71,0.688,0.629,0.826,Timburi - SP
Witmarsum (SC),0.71,0.739,0.557,0.87,Witmarsum - SC
Itanhangá (MT),0.71,0.699,0.597,0.856,Itanhangá - MT
São Miguel da Boa Vista (SC),0.71,0.733,0.615,0.795,São Miguel da Boa Vista - SC
Paranapoema (PR),0.709,0.68,0.629,0.834,Paranapoema - PR
Ampére (PR),0.709,0.699,0.62,0.824,Ampére - PR
Jardinópolis (SC),0.709,0.708,0.611,0.823,Jardinópolis - SC
Rio Negro (MS),0.709,0.702,0.585,0.869,Rio Negro - MS
Juquitiba (SP),0.709,0.68,0.662,0.791,Juquitiba - SP
Serra do Navio (AP),0.709,0.659,0.692,0.783,Serra do Navio - AP
Goiás (GO),0.709,0.713,0.621,0.805,Goiás - GO
Cantagalo (RJ),0.709,0.705,0.614,0.822,Cantagalo - RJ
Dom Silvério (MG),0.709,0.661,0.636,0.847,Dom Silvério - MG
Taguaí (SP),0.709,0.69,0.631,0.818,Taguaí - SP
Saquarema (RJ),0.709,0.714,0.621,0.804,Saquarema - RJ
Silvânia (GO),0.709,0.721,0.606,0.814,Silvânia - GO
Cruzeiro do Iguaçu (PR),0.709,0.703,0.641,0.792,Cruzeiro do Iguaçu - PR
São Gabriel da Palha (ES),0.709,0.739,0.578,0.835,São Gabriel da Palha - ES
Visconde do Rio Branco (MG),0.709,0.709,0.591,0.85,Visconde do Rio Branco - MG
Cláudio (MG),0.709,0.701,0.602,0.846,Cláudio - MG
São Pedro do Sul (RS),0.709,0.698,0.619,0.824,São Pedro do Sul - RS
Sandovalina (SP),0.709,0.665,0.659,0.812,Sandovalina - SP
Tupanciretã (RS),0.709,0.721,0.596,0.828,Tupanciretã - RS
Gália (SP),0.709,0.684,0.634,0.823,Gália - SP
Nova Era (MG),0.709,0.675,0.639,0.825,Nova Era - MG
Magé (RJ),0.709,0.685,0.626,0.832,Magé - RJ
Nossa Senhora das Graças (PR),0.709,0.679,0.631,0.832,Nossa Senhora das Graças - PR
Ouro Verde do Oeste (PR),0.709,0.688,0.634,0.817,Ouro Verde do Oeste - PR
Rio Paranaíba (MG),0.709,0.725,0.575,0.855,Rio Paranaíba - MG
Campanha (MG),0.709,0.715,0.587,0.849,Campanha - MG
Pirapetinga (MG),0.709,0.68,0.624,0.841,Pirapetinga - MG
Juranda (PR),0.708,0.678,0.639,0.818,Juranda - PR
Araporã (MG),0.708,0.676,0.646,0.813,Araporã - MG
Atilio Vivacqua (ES),0.708,0.663,0.637,0.841,Atilio Vivacqua - ES
Flor do Sertão (SC),0.708,0.736,0.608,0.792,Flor do Sertão - SC
Jateí (MS),0.708,0.716,0.579,0.857,Jateí - MS
Abadia de Goiás (GO),0.708,0.687,0.622,0.83,Abadia de Goiás - GO
Alvorada (TO),0.708,0.677,0.623,0.843,Alvorada - TO
Apiúna (SC),0.708,0.735,0.584,0.827,Apiúna - SC
Coromandel (MG),0.708,0.73,0.565,0.86,Coromandel - MG
Dom Pedrito (RS),0.708,0.715,0.585,0.848,Dom Pedrito - RS
Piraí (RJ),0.708,0.714,0.62,0.803,Piraí - RJ
Ibicaré (SC),0.708,0.734,0.586,0.826,Ibicaré - SC
Crixás (GO),0.708,0.706,0.625,0.805,Crixás - GO
Piraí do Sul (PR),0.708,0.702,0.619,0.816,Piraí do Sul - PR
Galvão (SC),0.708,0.704,0.618,0.815,Galvão - SC
São José de Ribamar (MA),0.708,0.642,0.7,0.79,São José de Ribamar - MA
Alvorada do Sul (PR),0.708,0.695,0.617,0.826,Alvorada do Sul - PR
Ibirarema (SP),0.708,0.692,0.628,0.817,Ibirarema - SP
Campos Borges (RS),0.708,0.704,0.616,0.819,Campos Borges - RS
Paulo Frontin (PR),0.708,0.688,0.639,0.806,Paulo Frontin - PR
Conchal (SP),0.708,0.699,0.614,0.827,Conchal - SP
São João Nepomuceno (MG),0.708,0.696,0.6,0.85,São João Nepomuceno - MG
São Sepé (RS),0.708,0.708,0.576,0.871,São Sepé - RS
Madre de Deus (BA),0.708,0.67,0.667,0.794,Madre de Deus - BA
Tenente Portela (RS),0.708,0.709,0.603,0.83,Tenente Portela - RS
Romaria (MG),0.708,0.722,0.604,0.813,Romaria - MG
Cáceres (MT),0.708,0.691,0.633,0.813,Cáceres - MT
Mirim Doce (SC),0.708,0.683,0.633,0.821,Mirim Doce - SC
Pedra do Indaiá (MG),0.708,0.688,0.611,0.843,Pedra do Indaiá - MG
Itaiópolis (SC),0.708,0.7,0.606,0.836,Itaiópolis - SC
Mallet (PR),0.708,0.681,0.645,0.809,Mallet - PR
Minaçu (GO),0.707,0.691,0.637,0.803,Minaçu - GO
Irati (SC),0.707,0.694,0.609,0.836,Irati - SC
Itirapuã (SP),0.707,0.673,0.636,0.826,Itirapuã - SP
Conselheiro Mairinck (PR),0.707,0.675,0.65,0.806,Conselheiro Mairinck - PR
Itaguajé (PR),0.707,0.672,0.664,0.791,Itaguajé - PR
Rio Novo (MG),0.707,0.671,0.631,0.835,Rio Novo - MG
Montes Claros de Goiás (GO),0.707,0.704,0.622,0.806,Montes Claros de Goiás - GO
Sarapuí (SP),0.707,0.699,0.621,0.814,Sarapuí - SP
Estrela do Norte (GO),0.707,0.703,0.593,0.848,Estrela do Norte - GO
São José do Hortêncio (RS),0.707,0.717,0.597,0.824,São José do Hortêncio - RS
Derrubadas (RS),0.707,0.664,0.628,0.846,Derrubadas - RS
Matutina (MG),0.707,0.744,0.552,0.859,Matutina - MG
Várzea (PB),0.707,0.619,0.714,0.8,Várzea - PB
Santa Bárbara (MG),0.707,0.676,0.642,0.816,Santa Bárbara - MG
Leópolis (PR),0.707,0.657,0.663,0.812,Leópolis - PR
Jaguarão (RS),0.707,0.698,0.608,0.832,Jaguarão - RS
Rio Branco (MT),0.707,0.701,0.617,0.817,Rio Branco - MT
Jandaia (GO),0.707,0.69,0.625,0.821,Jandaia - GO
Sul Brasil (SC),0.707,0.713,0.595,0.832,Sul Brasil - SC
Rancho Alegre (PR),0.707,0.691,0.633,0.808,Rancho Alegre - PR
Áurea (RS),0.707,0.715,0.588,0.841,Áurea - RS
Arroio do Tigre (RS),0.707,0.708,0.589,0.848,Arroio do Tigre - RS
Iracema do Oeste (PR),0.707,0.672,0.63,0.836,Iracema do Oeste - PR
Iguatama (MG),0.707,0.695,0.616,0.825,Iguatama - MG
Santa Cruz de Minas (MG),0.706,0.66,0.636,0.839,Santa Cruz de Minas - MG
Novo Barreiro (RS),0.706,0.734,0.594,0.808,Novo Barreiro - RS
Laranjeiras do Sul (PR),0.706,0.709,0.594,0.835,Laranjeiras do Sul - PR
Ivaté (PR),0.706,0.684,0.641,0.803,Ivaté - PR
Santa Bárbara de Goiás (GO),0.706,0.667,0.635,0.832,Santa Bárbara de Goiás - GO
Capanema (PR),0.706,0.719,0.611,0.801,Capanema - PR
Doutor Maurício Cardoso (RS),0.706,0.707,0.593,0.84,Doutor Maurício Cardoso - RS
Caetanópolis (MG),0.706,0.674,0.617,0.845,Caetanópolis - MG
Planalto (PR),0.706,0.704,0.636,0.786,Planalto - PR
Santo Antônio do Pinhal (SP),0.706,0.685,0.632,0.812,Santo Antônio do Pinhal - SP
Santa Juliana (MG),0.706,0.726,0.558,0.868,Santa Juliana - MG
Paim Filho (RS),0.706,0.725,0.558,0.87,Paim Filho - RS
Dionísio Cerqueira (SC),0.706,0.703,0.61,0.82,Dionísio Cerqueira - SC
Campo Florido (MG),0.706,0.735,0.558,0.858,Campo Florido - MG
Cromínia (GO),0.706,0.692,0.634,0.803,Cromínia - GO
Douradoquara (MG),0.706,0.704,0.591,0.847,Douradoquara - MG
Ibiraci (MG),0.706,0.696,0.591,0.855,Ibiraci - MG
Chuí (RS),0.706,0.676,0.658,0.792,Chuí - RS
Três Barras (SC),0.706,0.677,0.639,0.814,Três Barras - SC
Cachoeira de Minas (MG),0.706,0.673,0.637,0.821,Cachoeira de Minas - MG
Caratinga (MG),0.706,0.697,0.603,0.836,Caratinga - MG
Hidrolândia (GO),0.706,0.707,0.603,0.827,Hidrolândia - GO
Barracão (PR),0.706,0.716,0.59,0.833,Barracão - PR
Cesário Lange (SP),0.706,0.715,0.611,0.804,Cesário Lange - SP
Coxilha (RS),0.706,0.693,0.586,0.866,Coxilha - RS
Itatinga (SP),0.706,0.685,0.61,0.841,Itatinga - SP
Princesa (SC),0.706,0.701,0.611,0.82,Princesa - SC
Mossâmedes (GO),0.706,0.696,0.623,0.811,Mossâmedes - GO
Costa Rica (MS),0.706,0.717,0.606,0.811,Costa Rica - MS
Xambrê (PR),0.706,0.703,0.606,0.825,Xambrê - PR
Iporã (PR),0.706,0.696,0.611,0.829,Iporã - PR
Joviânia (GO),0.706,0.714,0.595,0.827,Joviânia - GO
Campos Novos Paulista (SP),0.706,0.67,0.638,0.824,Campos Novos Paulista - SP
Lapa (PR),0.706,0.696,0.595,0.848,Lapa - PR
Campestre da Serra (RS),0.706,0.713,0.557,0.886,Campestre da Serra - RS
Novo Horizonte (SC),0.706,0.7,0.594,0.846,Novo Horizonte - SC
Inajá (PR),0.705,0.676,0.641,0.807,Inajá - PR
Avanhandava (SP),0.705,0.688,0.623,0.817,Avanhandava - SP
Alto Taquari (MT),0.705,0.736,0.571,0.833,Alto Taquari - MT
Carmo do Paranaíba (MG),0.705,0.713,0.571,0.861,Carmo do Paranaíba - MG
Itamonte (MG),0.705,0.695,0.591,0.853,Itamonte - MG
Itaju (SP),0.705,0.696,0.613,0.823,Itaju - SP
Borebi (SP),0.705,0.674,0.615,0.846,Borebi - SP
Restinga (SP),0.705,0.664,0.639,0.826,Restinga - SP
Santa Tereza do Oeste (PR),0.705,0.686,0.632,0.808,Santa Tereza do Oeste - PR
União do Oeste (SC),0.705,0.703,0.606,0.823,União do Oeste - SC
Planaltina do Paraná (PR),0.705,0.682,0.646,0.795,Planaltina do Paraná - PR
Bofete (SP),0.705,0.7,0.609,0.821,Bofete - SP
Guiratinga (MT),0.705,0.677,0.637,0.813,Guiratinga - MT
Vila Lângaro (RS),0.705,0.759,0.551,0.839,Vila Lângaro - RS
Jesuítas (PR),0.705,0.68,0.615,0.839,Jesuítas - PR
Belmonte (SC),0.705,0.699,0.611,0.82,Belmonte - SC
Santa Fé (PR),0.705,0.721,0.601,0.808,Santa Fé - PR
Santa Rosa da Serra (MG),0.705,0.695,0.583,0.866,Santa Rosa da Serra - MG
Santa Rosa do Sul (SC),0.705,0.702,0.618,0.806,Santa Rosa do Sul - SC
Ribeirão Grande (SP),0.705,0.643,0.676,0.807,Ribeirão Grande - SP
Campina da Lagoa (PR),0.704,0.677,0.623,0.829,Campina da Lagoa - PR
Nova Marilândia (MT),0.704,0.68,0.623,0.823,Nova Marilândia - MT
Euclides da Cunha Paulista (SP),0.704,0.663,0.655,0.802,Euclides da Cunha Paulista - SP
Palma Sola (SC),0.704,0.7,0.622,0.8,Palma Sola - SC
Ivolândia (GO),0.704,0.68,0.622,0.825,Ivolândia - GO
Rancho Alegre D'Oeste (PR),0.704,0.673,0.625,0.831,Rancho Alegre D'Oeste - PR
Ladário (MS),0.704,0.687,0.618,0.822,Ladário - MS
Arenápolis (MT),0.704,0.677,0.649,0.793,Arenápolis - MT
Ibirité (MG),0.704,0.673,0.616,0.84,Ibirité - MG
São Pedro do Paraná (PR),0.704,0.678,0.616,0.836,São Pedro do Paraná - PR
Chapadão do Lageado (SC),0.704,0.68,0.616,0.833,Chapadão do Lageado - SC
Cássia (MG),0.704,0.723,0.576,0.837,Cássia - MG
Araruna (PR),0.704,0.685,0.648,0.785,Araruna - PR
Nova Xavantina (MT),0.704,0.713,0.613,0.8,Nova Xavantina - MT
Alto Araguaia (MT),0.704,0.712,0.612,0.802,Alto Araguaia - MT
Santa Mônica (PR),0.704,0.698,0.63,0.792,Santa Mônica - PR
Quissamã (RJ),0.704,0.698,0.61,0.821,Quissamã - RJ
Tabatinga (SP),0.704,0.7,0.609,0.818,Tabatinga - SP
Quaraí (RS),0.704,0.673,0.609,0.852,Quaraí - RS
Salto do Itararé (PR),0.704,0.661,0.631,0.836,Salto do Itararé - PR
Mateus Leme (MG),0.704,0.688,0.604,0.839,Mateus Leme - MG
Papanduva (SC),0.704,0.691,0.603,0.836,Papanduva - SC
Canas (SP),0.704,0.646,0.677,0.797,Canas - SP
São José da Varginha (MG),0.704,0.682,0.597,0.857,São José da Varginha - MG
Araçariguama (SP),0.704,0.717,0.597,0.814,Araçariguama - SP
Mirassol D'Oeste (MT),0.704,0.723,0.592,0.816,Mirassol D'Oeste - MT
Buritinópolis (GO),0.704,0.727,0.591,0.813,Buritinópolis - GO
São Miguel do Iguaçu (PR),0.704,0.726,0.588,0.818,São Miguel do Iguaçu - PR
Campina Verde (MG),0.704,0.714,0.562,0.868,Campina Verde - MG
Siqueira Campos (PR),0.704,0.708,0.588,0.839,Siqueira Campos - PR
Parobé (RS),0.704,0.7,0.562,0.886,Parobé - RS
Boa Esperança (MG),0.704,0.694,0.587,0.855,Boa Esperança - MG
Salto Grande (SP),0.704,0.664,0.637,0.825,Salto Grande - SP
Caçapava do Sul (RS),0.704,0.699,0.585,0.855,Caçapava do Sul - RS
Lontras (SC),0.704,0.735,0.579,0.82,Lontras - SC
Uruana (GO),0.703,0.665,0.634,0.824,Uruana - GO
Macuco (RJ),0.703,0.687,0.631,0.801,Macuco - RJ
Campo Novo (RS),0.703,0.677,0.593,0.866,Campo Novo - RS
Itararé (SP),0.703,0.668,0.649,0.803,Itararé - SP
Boa Vista do Cadeado (RS),0.703,0.692,0.59,0.851,Boa Vista do Cadeado - RS
Tapejara (PR),0.703,0.694,0.612,0.819,Tapejara - PR
Guaçuí (ES),0.703,0.691,0.595,0.846,Guaçuí - ES
São Pedro do Turvo (SP),0.703,0.661,0.636,0.826,São Pedro do Turvo - SP
Lagoa Formosa (MG),0.703,0.717,0.582,0.832,Lagoa Formosa - MG
Conceição dos Ouros (MG),0.703,0.668,0.618,0.842,Conceição dos Ouros - MG
Três Palmeiras (RS),0.703,0.747,0.56,0.832,Três Palmeiras - RS
Entre Rios do Sul (RS),0.703,0.709,0.572,0.857,Entre Rios do Sul - RS
Maria Helena (PR),0.703,0.68,0.607,0.842,Maria Helena - PR
Caseiros (RS),0.703,0.696,0.6,0.833,Caseiros - RS
Araquari (SC),0.703,0.696,0.602,0.83,Araquari - SC
Jeriquara (SP),0.703,0.68,0.628,0.814,Jeriquara - SP
Porangaba (SP),0.703,0.696,0.578,0.864,Porangaba - SP
Iguatu (PR),0.703,0.672,0.637,0.812,Iguatu - PR
Castro (PR),0.703,0.704,0.6,0.823,Castro - PR
Palma (MG),0.703,0.663,0.623,0.841,Palma - MG
Francisco Morato (SP),0.703,0.659,0.647,0.815,Francisco Morato - SP
Fernão (SP),0.703,0.668,0.617,0.843,Fernão - SP
Ibaté (SP),0.703,0.681,0.627,0.814,Ibaté - SP
Guarantã do Norte (MT),0.703,0.692,0.609,0.826,Guarantã do Norte - MT
Goianápolis (GO),0.703,0.678,0.62,0.825,Goianápolis - GO
Perdigão (MG),0.703,0.711,0.579,0.843,Perdigão - MG
Iporanga (SP),0.703,0.637,0.668,0.816,Iporanga - SP
Coxim (MS),0.703,0.719,0.579,0.836,Coxim - MS
Pontes E Lacerda (MT),0.703,0.711,0.605,0.807,Pontes E Lacerda - MT
Camapuã (MS),0.703,0.715,0.596,0.817,Camapuã - MS
Riolândia (SP),0.703,0.677,0.629,0.817,Riolândia - SP
Nonoai (RS),0.702,0.703,0.591,0.833,Nonoai - RS
Itaguaçu (ES),0.702,0.672,0.641,0.802,Itaguaçu - ES
Maria da Fé (MG),0.702,0.646,0.637,0.842,Maria da Fé - MG
Pitanga (PR),0.702,0.696,0.621,0.802,Pitanga - PR
Botelhos (MG),0.702,0.702,0.568,0.868,Botelhos - MG
Nortelândia (MT),0.702,0.653,0.668,0.793,Nortelândia - MT
Campos Altos (MG),0.702,0.69,0.582,0.86,Campos Altos - MG
Baixo Guandu (ES),0.702,0.67,0.637,0.811,Baixo Guandu - ES
Dionísio (MG),0.702,0.651,0.647,0.821,Dionísio - MG
Santo Antônio da Alegria (SP),0.702,0.69,0.604,0.83,Santo Antônio da Alegria - SP
Viadutos (RS),0.702,0.715,0.561,0.864,Viadutos - RS
Paraíba do Sul (RJ),0.702,0.697,0.61,0.812,Paraíba do Sul - RJ
Pontalinda (SP),0.702,0.677,0.604,0.847,Pontalinda - SP
Ariquemes (RO),0.702,0.716,0.6,0.806,Ariquemes - RO
Santo Antônio de Posse (SP),0.702,0.718,0.576,0.838,Santo Antônio de Posse - SP
Vitorino (PR),0.702,0.728,0.582,0.818,Vitorino - PR
Muitos Capões (RS),0.702,0.711,0.558,0.873,Muitos Capões - RS
Luiziânia (SP),0.702,0.682,0.623,0.815,Luiziânia - SP
Inhaúma (MG),0.702,0.657,0.624,0.845,Inhaúma - MG
Morro Redondo (RS),0.702,0.719,0.557,0.864,Morro Redondo - RS
Adelândia (GO),0.702,0.664,0.622,0.836,Adelândia - GO
Guapirama (PR),0.702,0.666,0.645,0.805,Guapirama - PR
Correia Pinto (SC),0.702,0.701,0.614,0.804,Correia Pinto - SC
Edealina (GO),0.702,0.722,0.594,0.808,Edealina - GO
Braganey (PR),0.701,0.689,0.627,0.797,Braganey - PR
Nova Ponte (MG),0.701,0.734,0.562,0.835,Nova Ponte - MG
Santa Rosa de Goiás (GO),0.701,0.643,0.635,0.844,Santa Rosa de Goiás - GO
Colinas do Tocantins (TO),0.701,0.69,0.614,0.814,Colinas do Tocantins - TO
Primeiro de Maio (PR),0.701,0.695,0.599,0.826,Primeiro de Maio - PR
Travesseiro (RS),0.701,0.735,0.559,0.839,Travesseiro - RS
Barra Bonita (SC),0.701,0.692,0.599,0.83,Barra Bonita - SC
Presidente Olegário (MG),0.701,0.679,0.611,0.831,Presidente Olegário - MG
Florestópolis (PR),0.701,0.682,0.625,0.807,Florestópolis - PR
Castelândia (GO),0.701,0.724,0.578,0.823,Castelândia - GO
Pratânia (SP),0.701,0.681,0.633,0.798,Pratânia - SP
Brasilândia (MS),0.701,0.721,0.57,0.837,Brasilândia - MS
Taquarituba (SP),0.701,0.7,0.606,0.811,Taquarituba - SP
Dianópolis (TO),0.701,0.673,0.624,0.822,Dianópolis - TO
Brazabrantes (GO),0.701,0.677,0.615,0.826,Brazabrantes - GO
Santa Terezinha de Goiás (GO),0.701,0.647,0.644,0.826,Santa Terezinha de Goiás - GO
Centenário (RS),0.701,0.707,0.569,0.856,Centenário - RS
Senador Canedo (GO),0.701,0.676,0.617,0.827,Senador Canedo - GO
Ribeirão do Pinhal (PR),0.701,0.684,0.611,0.824,Ribeirão do Pinhal - PR
Dona Eusébia (MG),0.701,0.684,0.598,0.841,Dona Eusébia - MG
Mariana Pimentel (RS),0.701,0.701,0.568,0.866,Mariana Pimentel - RS
Alto Garças (MT),0.701,0.707,0.583,0.835,Alto Garças - MT
Ponta Porã (MS),0.701,0.708,0.598,0.812,Ponta Porã - MS
Indiara (GO),0.701,0.694,0.593,0.837,Indiara - GO
Morro Grande (SC),0.701,0.742,0.548,0.847,Morro Grande - SC
Patos (PB),0.701,0.667,0.628,0.821,Patos - PB
Marcelândia (MT),0.701,0.7,0.604,0.813,Marcelândia - MT
Nanuque (MG),0.701,0.666,0.609,0.85,Nanuque - MG
Eusébio (CE),0.701,0.7,0.621,0.794,Eusébio - CE
Araguainha (MT),0.701,0.65,0.627,0.844,Araguainha - MT
Tabaí (RS),0.701,0.694,0.595,0.834,Tabaí - RS
Luziânia (GO),0.701,0.689,0.602,0.831,Luziânia - GO
Campo Magro (PR),0.701,0.685,0.607,0.828,Campo Magro - PR
Ipameri (GO),0.701,0.711,0.588,0.823,Ipameri - GO
São Sebastião da Grama (SP),0.701,0.689,0.609,0.82,São Sebastião da Grama - SP
Bom Jesus de Goiás (GO),0.701,0.699,0.573,0.86,Bom Jesus de Goiás - GO
Teófilo Otoni (MG),0.701,0.698,0.598,0.824,Teófilo Otoni - MG
Guaranésia (MG),0.701,0.693,0.589,0.845,Guaranésia - MG
São Tomás de Aquino (MG),0.7,0.692,0.568,0.874,São Tomás de Aquino - MG
Naviraí (MS),0.7,0.715,0.597,0.803,Naviraí - MS
Alto Alegre (SP),0.7,0.683,0.616,0.817,Alto Alegre - SP
Cacequi (RS),0.7,0.68,0.626,0.807,Cacequi - RS
Andrelândia (MG),0.7,0.675,0.621,0.818,Andrelândia - MG
Piraquara (PR),0.7,0.689,0.574,0.869,Piraquara - PR
Cachoeiras de Macacu (RJ),0.7,0.695,0.603,0.817,Cachoeiras de Macacu - RJ
Floriano (PI),0.7,0.676,0.633,0.802,Floriano - PI
Americano do Brasil (GO),0.7,0.669,0.631,0.813,Americano do Brasil - GO
Corumbá (MS),0.7,0.701,0.586,0.834,Corumbá - MS
Santa Mariana (PR),0.7,0.684,0.624,0.804,Santa Mariana - PR
Boa Esperança do Iguaçu (PR),0.7,0.673,0.602,0.848,Boa Esperança do Iguaçu - PR
Aurilândia (GO),0.7,0.661,0.62,0.836,Aurilândia - GO
Boqueirão do Leão (RS),0.7,0.725,0.562,0.843,Boqueirão do Leão - RS
Pérola (PR),0.7,0.704,0.607,0.804,Pérola - PR
Ubiretama (RS),0.7,0.691,0.613,0.809,Ubiretama - RS
Bocaiúva (MG),0.7,0.648,0.644,0.822,Bocaiúva - MG
Vidal Ramos (SC),0.7,0.728,0.588,0.802,Vidal Ramos - SC
Santo Antônio de Jesus (BA),0.7,0.677,0.622,0.815,Santo Antônio de Jesus - BA
Sangão (SC),0.7,0.725,0.554,0.853,Sangão - SC
Salgado Filho (PR),0.7,0.682,0.604,0.831,Salgado Filho - PR
Porto Amazonas (PR),0.7,0.708,0.595,0.815,Porto Amazonas - PR
Juquiá (SP),0.7,0.654,0.637,0.823,Juquiá - SP
São Roque do Canaã (ES),0.7,0.686,0.623,0.803,São Roque do Canaã - ES
Conceição do Pará (MG),0.7,0.687,0.588,0.85,Conceição do Pará - MG
Ubarana (SP),0.7,0.672,0.604,0.844,Ubarana - SP
Paraíso (SC),0.7,0.728,0.565,0.833,Paraíso - SC
Joaquim Távora (PR),0.7,0.699,0.613,0.801,Joaquim Távora - PR
Rolim de Moura (RO),0.7,0.709,0.598,0.808,Rolim de Moura - RO
Carmópolis de Minas (MG),0.7,0.694,0.582,0.85,Carmópolis de Minas - MG
Maximiliano de Almeida (RS),0.699,0.699,0.591,0.825,Maximiliano de Almeida - RS
Oliveira (MG),0.699,0.691,0.587,0.842,Oliveira - MG
Cruz das Almas (BA),0.699,0.659,0.65,0.796,Cruz das Almas - BA
Bom Retiro (SC),0.699,0.704,0.559,0.869,Bom Retiro - SC
Suzanápolis (SP),0.699,0.665,0.631,0.813,Suzanápolis - SP
Mário Campos (MG),0.699,0.68,0.604,0.833,Mário Campos - MG
Almirante Tamandaré (PR),0.699,0.706,0.575,0.84,Almirante Tamandaré - PR
Silvianópolis (MG),0.699,0.706,0.559,0.865,Silvianópolis - MG
Urupema (SC),0.699,0.667,0.622,0.823,Urupema - SC
Anchieta (SC),0.699,0.703,0.608,0.8,Anchieta - SC
Madre de Deus de Minas (MG),0.699,0.667,0.598,0.856,Madre de Deus de Minas - MG
Vargem (SP),0.699,0.69,0.591,0.839,Vargem - SP
Lavras do Sul (RS),0.699,0.683,0.577,0.868,Lavras do Sul - RS
Cambuquira (MG),0.699,0.691,0.577,0.856,Cambuquira - MG
Barbosa (SP),0.699,0.676,0.599,0.843,Barbosa - SP
Saudade do Iguaçu (PR),0.699,0.695,0.611,0.803,Saudade do Iguaçu - PR
Caiçara (RS),0.699,0.721,0.58,0.817,Caiçara - RS
Vera Cruz do Oeste (PR),0.699,0.702,0.601,0.811,Vera Cruz do Oeste - PR
Joanópolis (SP),0.699,0.707,0.585,0.824,Joanópolis - SP
Novo Alegre (TO),0.699,0.642,0.654,0.812,Novo Alegre - TO
Novo Brasil (GO),0.699,0.691,0.598,0.828,Novo Brasil - GO
Alvorada (RS),0.699,0.694,0.564,0.874,Alvorada - RS
São Gabriel (RS),0.699,0.711,0.585,0.822,São Gabriel - RS
Brochier (RS),0.699,0.723,0.554,0.851,Brochier - RS
Cláudia (MT),0.699,0.719,0.586,0.809,Cláudia - MT
Nobres (MT),0.699,0.675,0.611,0.827,Nobres - MT
Tomazina (PR),0.699,0.661,0.622,0.829,Tomazina - PR
Marzagão (GO),0.699,0.692,0.601,0.822,Marzagão - GO
Capela do Alto (SP),0.699,0.673,0.617,0.823,Capela do Alto - SP
Cristalina (GO),0.699,0.716,0.587,0.814,Cristalina - GO
Trindade (GO),0.699,0.682,0.608,0.822,Trindade - GO
Jaraguá (GO),0.699,0.692,0.588,0.841,Jaraguá - GO
Rosário do Sul (RS),0.699,0.705,0.576,0.841,Rosário do Sul - RS
Irineópolis (SC),0.699,0.72,0.567,0.836,Irineópolis - SC
Douradina (MS),0.699,0.706,0.597,0.809,Douradina - MS
Bela Vista (MS),0.698,0.699,0.585,0.83,Bela Vista - MS
Santa Cecília (SC),0.698,0.697,0.597,0.819,Santa Cecília - SC
Abaeté (MG),0.698,0.72,0.556,0.848,Abaeté - MG
Araújos (MG),0.698,0.694,0.574,0.855,Araújos - MG
Porto Mauá (RS),0.698,0.672,0.608,0.831,Porto Mauá - RS
